fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
3,ridge,1400,200,False,,,0.0001272468558575568,0.00016589607446564457,9.731162177075702e-05,0.0001219308410365984,1.0,1.0,0.07689309393268211,0.07689309393267588,0.008735596831052678,0.03,0.03,3.0,3.0,210.0
3,random_forest,1400,200,False,,,0.07763692460317582,0.3487056115303189,0.03412035218253962,0.24461198788836933,0.955,0.98,0.916782165637926,0.8343079789443024,0.008750129869020193,0.35768446244624263,0.32550698753575313,0.9401354224215194,3.0,210.0
3,gbt,1400,200,False,,,0.4645629106879848,1.178778611568673,0.28390117968000317,0.8384556278334487,0.79,0.895,0.9700234685256532,0.878492011209351,0.009139817645355033,0.37845666713904114,0.34274547931905974,0.5,1.4156231722660664,210.0
3,xgboost,1400,200,True,1.5643303245978206,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 3.0, ""n_estimators"": 1312, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.08802988052368164,0.511890176244573,0.024338572313827172,0.20400232568162605,0.85,0.945,0.07688989490270615,0.07689294219017029,0.007827265648703669,0.03,0.03,3.0,3.0,210.0
3,catboost,1400,200,True,2.1742384751003296,"{""depth"": 4, ""iterations"": 811, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.03, ""subsample"": 1.0}",0.2367608571344809,0.3744043250130968,0.16878269954845387,0.25545925940834735,0.88,0.95,0.8892473188300601,0.9485637897834763,0.008019858910534245,0.34694168488342575,0.3700841289910875,1.3507309426435254,2.358951225816859,210.0
4,ridge,1600,200,False,,,0.00011944545355223824,0.0001472152622166867,7.770723146265757e-05,9.508579176870373e-05,1.0,1.0,0.07689309393268218,0.07689309393267595,0.015001769576701757,0.03,0.03,3.0,3.0,240.0
4,random_forest,1600,200,False,,,0.016124184704184044,0.07156272525322864,0.004591041666666724,0.03224576374524141,0.995,0.995,0.8981851599548349,0.7244630236737777,0.015000003659086563,0.35042880212672056,0.28265075052439054,1.0119456885298146,3.0,240.0
4,gbt,1600,200,False,,,0.35638639001466804,0.8971347384738951,0.15056026814172577,0.43519581960963016,0.85,0.94,0.7946366843525823,0.9404499620880657,0.016526670577381067,0.31002914971076234,0.36691850229546463,0.5100389401780219,1.6084047331588442,240.0
4,xgboost,1600,200,True,1.5761676244354834,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 646, ""n_jobs"": -1, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.03632091522216797,0.12797665333186561,0.005568124735764286,0.014740780745543745,0.9,0.975,0.142425537109375,0.07689294964075089,0.015363404646258249,0.05556834279253979,0.03,3.0,3.0,240.0
4,catboost,1600,200,True,1.8403739160166606,"{""depth"": 4, ""iterations"": 1719, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.12848577094030017,0.2080512734100457,0.07395686888980113,0.10021719810826352,0.965,0.97,0.8289087246407106,0.5042743180068134,0.02344155387270029,0.3234004572763543,0.19674367054926883,2.8522305593180732,3.0,240.0
5,ridge,1800,200,False,,,9.374816804633922e-05,0.0001213526095929419,7.33334380499151e-05,9.183109976379507e-05,1.0,1.0,0.07689309393268218,0.0768930939326759,0.021248485473641186,0.03,0.03,3.0,3.0,270.0
5,random_forest,1800,200,False,,,0.03227138888888824,0.35773506648069486,0.031523253968253846,0.32522832087969966,0.995,0.99,0.9427536181564733,0.6934515422468326,0.02125000107804782,0.36781727848611506,0.27055155675774434,1.1038659837575,3.0,270.0
