fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
3,ridge,1400,200,False,,,7.278820701941413e-05,9.555995619547235e-05,0.00013225756249100328,0.00016543126094933723,1.0,1.0,0.07689309393265376,0.07689309393267593,0.0,0.03,0.03,3.0,3.0,210.0
3,random_forest,1400,200,False,,,0.057049275793653605,0.27291026228178944,0.03555494182900414,0.2328584985293357,0.985,0.98,2.745164858480166,0.9178838733999433,3.079307499548786e-07,1.0710317603621407,0.3581142960134749,0.5,1.2148121610314784,210.0
3,gbt,1400,200,False,,,0.9237460782198573,1.8097600139929275,0.34334261104620983,1.1318550345480893,0.86,0.875,3.397622607273206,0.9119847284031201,7.259757556618133e-07,1.3255895036222618,0.35581273236382366,0.5223360383450818,0.5761880607029455,210.0
3,xgboost,1400,200,True,6.640087150689947,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 757, ""n_jobs"": -1, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.4933737182617188,0.7239814638308728,0.3800195637717843,0.5255687670436976,0.855,0.83,1.6795943975448608,1.2540521621704102,0.0019206225721814121,0.6552920881854644,0.48927113796667054,1.2892683660699233,1.7358414250239314,210.0
3,catboost,1400,200,True,6.2590096603797045,"{""depth"": 4, ""iterations"": 811, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.03, ""subsample"": 1.0}",0.43126188014258915,0.5959624754064039,0.3017426897653798,0.45446365808421474,0.86,0.835,1.536660013199534,0.9682338907670008,1.3072217450504638e-07,0.5995310897016153,0.3777584596666408,0.8952820244361068,1.1321810234058696,210.0
4,ridge,1600,200,False,,,6.075175630982699e-05,7.52991302627509e-05,0.00011625541628591196,0.00014470068720221646,1.0,1.0,0.0768930939326539,0.07689309393267586,0.0,0.03,0.03,3.0,3.0,240.0
4,random_forest,1600,200,False,,,0.0853967956349203,0.3693986459700923,0.019765292207792218,0.12363298506394206,0.985,0.99,2.5581248677279973,0.858832799475759,1.210967716720272e-07,0.9980577202295019,0.33507539710694145,0.5,1.295893068242965,240.0
4,gbt,1600,200,False,,,0.8413634033022148,1.4266251236930914,0.2627523879512343,0.7222322858941854,0.845,0.86,3.059130370734867,0.8651187385135154,2.6899688040248e-07,1.1935260558301823,0.3375278692535009,0.5,0.633910171367324,240.0
4,xgboost,1600,200,True,5.737903614897756,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 983, ""n_jobs"": -1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.5077655792236329,0.9318972295084247,0.20026498258113862,0.2928507975138889,0.88,0.925,1.770751953125,0.916301965713501,1.1435252052591285e-05,0.6908580076948238,0.35749715289758344,0.7854929031779513,1.874671710842444,240.0
4,catboost,1600,200,True,5.394853852016407,"{""depth"": 4, ""iterations"": 1177, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 0.8}",0.26070224435240347,0.35443778995563346,0.18511804950740252,0.24882399655551946,0.875,0.95,0.9957695264447467,0.9101659751408394,6.21263881523746e-05,0.3885015450086908,0.35510314200820314,1.3423016132903283,2.037765320744539,240.0
5,ridge,1800,200,False,,,5.196253902695958e-05,6.551407985435784e-05,0.00010228462173085706,0.00013049974687056972,1.0,1.0,0.07689309393265376,0.07689309393267589,0.0,0.03,0.03,3.0,3.0,270.0
5,random_forest,1800,200,False,,,0.1401519169372277,0.7297143489768662,0.0437635714285714,0.23306924935818557,0.96,0.97,2.4288394938086575,0.8395407361600788,5.133812993284008e-08,0.9476167635816183,0.32754855861118337,0.5,1.46144218150672,270.0
5,gbt,1800,200,False,,,0.7634418770064657,1.4914999709584584,0.34613577631043735,1.0791571749774895,0.875,0.9,2.9278551903420804,0.9875388428355626,4.0205814960595616e-06,1.1423087720617322,0.3852903267360548,0.5,0.7254975518010222,270.0
5,xgboost,1800,200,True,5.5601314819686385,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1.0, ""n_estimators"": 656, ""n_jobs"": -1, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.47727272033691404,0.6232262936310173,0.36554949849843976,0.4917709808938177,0.74,0.84,1.321073055267334,1.2588050365447998,0.00026065601970697044,0.5154175828643491,0.4911255050509327,1.0423346241537896,1.334939959639675,270.0
5,catboost,1800,200,True,5.770725211114382,"{""depth"": 5, ""iterations"": 1184, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 0.9}",0.3290009950504364,0.45370708107687496,0.22032803125936823,0.32936915179754683,0.825,0.91,1.105400604413603,0.9574477127868468,2.922949155925363e-05,0.43127433734742365,0.3735502099675465,1.396556435885214,2.1711883921932014,270.0
6,ridge,2000,200,False,,,4.730152889933947e-05,6.000545827043593e-05,8.546536374973102e-05,0.00010626823415118257,1.0,1.0,0.07689309393265376,0.076893093932676,0.0,0.03,0.03,3.0,3.0,300.0
6,random_forest,2000,200,False,,,0.060890798611111026,0.39644895043016404,0.054541661706349324,0.33244619249833585,0.98,0.975,2.302026456314593,0.8587844136331318,8.064248651384776e-08,0.8981403941152947,0.33505651927013524,0.5,1.674740307660983,300.0
6,gbt,2000,200,False,,,0.5393307980031825,1.0193323370173155,0.3007956853776153,1.0956751857341511,0.895,0.905,2.7349625897153373,0.9786371442995143,5.570868414358095e-07,1.0670513240538673,0.38181731059867247,0.5,0.8265902486458364,300.0
6,xgboost,2000,200,True,5.145113132418848,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5.0, ""n_estimators"": 517, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.2703980255126953,0.8574390389965024,0.0834807476401329,0.4397914603299464,0.855,0.93,0.9423828125,0.2196057140827179,0.0,0.3676681372146021,0.08567977201033987,1.3260711959355103,3.0,300.0
6,catboost,2000,200,True,4.965225088125071,"{""depth"": 4, ""iterations"": 1114, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 0.8}",0.3374609699487553,0.7610542567962899,0.18991789115802873,0.29841427036239465,0.865,0.925,1.0258210364340812,0.9508897126124793,6.937721349627946e-06,0.4002262039288821,0.37099159260454523,1.3029251726223219,2.266314449061385,300.0
7,ridge,2200,200,False,,,4.5996296837742535e-05,6.394498783245204e-05,8.42810627742141e-05,0.00011188280172460748,1.0,1.0,0.0768930939326546,0.07689309393267592,0.0,0.03,0.03,3.0,3.0,330.0
7,random_forest,2200,200,False,,,0.5409921180555548,3.553570481150126,0.04412852678571424,0.2949494736677887,0.965,0.97,2.235034657171809,0.8937184942076002,2.3475347220033597e-07,0.8720034048033121,0.3486861232258772,0.5,1.865572205684502,330.0
7,gbt,2200,200,False,,,1.3760294756590343,4.99620314679082,0.21266278481322692,0.5481191951105161,0.865,0.885,2.6839705529708895,0.8890518350135048,0.0011028257614108196,1.047156675209672,0.3468654164671476,0.5,0.7856606789579772,330.0
7,xgboost,2200,200,True,5.156621168263118,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 873, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 0.8}",0.8916892623901367,2.827035620837879,0.24702004343271255,0.3367263340232969,0.795,0.86,1.1849970817565918,0.9545396566390991,8.652404674823141e-05,0.4623245025130365,0.37241559308513483,0.9612453078331439,1.6647577996966605,330.0
7,catboost,2200,200,True,4.795654313207111,"{""depth"": 4, ""iterations"": 2883, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.3694611883315879,1.4938712954221467,0.11695180394892876,0.1921626759350443,0.935,0.95,0.9456924384256808,0.6439352276490037,2.899985638719401e-07,0.36896386530642983,0.2512326639682897,2.525242728890572,3.0,330.0
8,ridge,2400,200,False,,,3.676972207969698e-05,4.6705809589852515e-05,7.707057966223896e-05,9.507714534903379e-05,1.0,1.0,0.07689309393265376,0.07689309393267613,0.0,0.03,0.03,3.0,3.0,360.0
8,random_forest,2400,200,False,,,0.1271738144841265,1.3815031350845473,0.07306785714285731,0.5828546999872972,0.99,0.97,1.870203311768767,0.915181783088684,2.2758683354328057e-07,0.7296636990857315,0.3570600698770062,0.5,1.9860642537373958,360.0
8,gbt,2400,200,False,,,0.8133632192872782,1.545079152198784,0.30790270025928373,1.2939273265632572,0.8,0.9,2.464069934842996,0.9090034117676056,3.6401689971860097e-07,0.9613619931851413,0.3546495654981003,0.5,0.8368451989320479,360.0
8,xgboost,2400,200,True,4.937508059750161,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 1371, ""n_jobs"": -1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.49024971008300783,0.7933691587523071,0.3239855828881264,0.9409217805386937,0.78,0.865,1.2632112503051758,0.9415562152862549,3.854201969013431e-06,0.49284152661904035,0.36735008018410337,0.8090402362713879,2.396914792574215,360.0
8,catboost,2400,200,True,4.646841828544205,"{""depth"": 4, ""iterations"": 2399, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.23505113791812776,0.5572118221716248,0.13521108221174605,0.3273393147110964,0.965,0.95,1.1481263863695403,0.7498461913418456,5.2826712359190166e-08,0.44794388974962984,0.29255404601031254,2.098270279559301,3.0,360.0
9,ridge,2600,200,False,,,0.0015774599196916484,0.012084659543725519,6.803727566804141e-05,8.581183104011221e-05,0.98,1.0,0.07689309393265403,0.07689309393267604,0.0,0.03,0.03,3.0,3.0,390.0
9,random_forest,2600,200,False,,,0.06844822420635012,0.3362825648066039,0.05225204365079378,0.47180461800100537,0.975,0.985,1.8219536516613146,0.7825347166996598,1.3917494660987711e-08,0.7108389941715116,0.30530754194315957,0.5,2.081066739076577,390.0
9,gbt,2600,200,False,,,1.0551269747996996,1.9546552168995233,0.3243813613559107,1.3562415840133906,0.755,0.895,2.3352947703831974,0.9318134667599318,6.938568958010944e-06,0.9111200958155741,0.36354895573942586,0.5,0.8653555935367632,390.0
9,xgboost,2600,200,True,4.72772875032135,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 5.0, ""n_estimators"": 1085, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 0.8}",0.3422218322753906,0.6631919912619133,0.1783460086584091,0.5846639410496326,0.7,0.94,0.6760253310203552,0.8900043964385986,1.0114138714804665e-06,0.26375089937613905,0.3472371098954878,0.7802427917014982,3.0,390.0
9,catboost,2600,200,True,4.365066499988834,"{""depth"": 4, ""iterations"": 830, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""subsample"": 0.7}",0.3516725905445615,0.6494387515744393,0.18951026471419993,0.38082030788071586,0.87,0.95,1.2347905933157193,0.8405798142535365,3.480864742429048e-06,0.4817561097477145,0.3279539570833923,1.1163765078128165,1.7402109120044618,390.0
10,ridge,2800,200,False,,,0.02002434127145335,0.02676209882012053,6.900675524777244e-05,8.47422029151968e-05,0.775,1.0,0.0768930939326539,0.07689309393267592,0.0,0.03,0.03,3.0,3.0,420.0
10,random_forest,2800,200,False,,,0.07136349206349181,0.6460866919391113,0.004393050595238073,0.01958215508441152,0.985,1.0,1.7485224931113592,0.7082392925770904,7.654367903384771e-10,0.6821896754378112,0.2763210282046362,0.5,2.170139944514719,420.0
10,gbt,2800,200,False,,,0.6613753660413504,1.405682605267427,0.1134742264034615,0.2854425507608817,0.86,0.945,2.495811291104651,0.9869003046713596,8.873217306541319e-07,0.9737459491316123,0.38504119974757817,0.5628997566914058,0.9062440384655606,420.0
10,xgboost,2800,200,True,4.673060010155878,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5.0, ""n_estimators"": 734, ""n_jobs"": -1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.4142516326904297,0.6879238380580904,0.25173906445503236,0.3293685287078994,0.855,0.885,1.28265380859375,0.9808720946311951,8.013423600751295e-07,0.5004300657367879,0.3826891961190914,0.611669151937868,1.7000277593448205,420.0
10,catboost,2800,200,True,4.386705281300191,"{""depth"": 4, ""iterations"": 1893, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 1.0}",0.24291080925878775,0.9430712258791508,0.07574203883730773,0.10127310234780887,0.955,0.99,0.9395857294075539,0.6575398532485859,3.5191115602572823e-09,0.36658132012357325,0.2565405368488476,1.9344460098010472,3.0,420.0
11,ridge,3000,200,False,,,0.0017667788059794987,0.002316158505551585,5.5120795627512374e-05,7.015926873132271e-05,1.0,1.0,0.07689309393265419,0.07689309393267592,0.0,0.03,0.03,3.0,3.0,450.0
11,random_forest,3000,200,False,,,0.01895165674603348,0.12728426331404247,0.019864558531746148,0.16359712495560702,0.99,0.985,1.6847601836531112,0.7697126558231346,9.431302092177416e-09,0.6573126782210865,0.3003049883115871,0.5,2.4636043949146216,450.0
11,gbt,3000,200,False,,,0.5546375206438684,1.146361886247224,0.15849755752991487,0.6422253478517855,0.875,0.965,2.0667084290376394,1.0246646596964668,3.762035978712616e-06,0.8063305779504042,0.399775041147498,0.5,0.930932572021278,450.0
11,xgboost,3000,200,True,4.403261202499087,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 3.0, ""n_estimators"": 1193, ""n_jobs"": -1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.21112724304199218,0.2993297098763611,0.20546886682510376,0.2963330641145097,0.905,0.885,0.95672607421875,0.8549466133117676,2.575723675176062e-06,0.3732671011410766,0.33355924626567446,0.7899681784129071,2.996674274405111,450.0
11,catboost,3000,200,True,5.187831027015852,"{""depth"": 4, ""iterations"": 2024, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.08, ""subsample"": 0.8}",0.14368370187770182,0.20966151550504913,0.08118491735118682,0.1280479624975866,0.95,0.93,0.7638554584024674,0.367535350130578,2.29094941080938e-19,0.2980197905957342,0.14339467876752646,3.0,3.0,450.0
