fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
10,xgboost,2600,200,True,21.852530865466512,"{""colsample_bytree"": 0.798386480512616, ""learning_rate"": 0.02451118226353051, ""max_depth"": 3, ""min_child_weight"": 2.5978817130191993, ""n_estimators"": 600, ""reg_lambda"": 4.758472238263328, ""subsample"": 0.7887331585092303}",9.578484191894532,12.326736455493092,4.882783648893237,6.864452629191008,0.225,0.5,6.695434093475342,6.625000476837158,0.1575379012761247,2.6122359596888676,2.5847580288885164,0.5396380126876994,1.0481986359037372,390.0
10,catboost,2600,200,True,23.002188449770706,"{""depth"": 5, ""iterations"": 3000, ""l2_leaf_reg"": 4.649317185693022, ""learning_rate"": 0.015837190717489683, ""random_seed"": 52, ""subsample"": 0.6843995628679147}",8.990857286676201,11.711727411478554,4.568703548649565,6.4448158354123946,0.27,0.405,7.944128108473397,4.825543666025588,0.16477013401482554,3.099418049985963,1.882695864826537,2.6789690230633814,3.0,390.0
11,xgboost,2800,200,True,21.773534644854983,"{""colsample_bytree"": 0.6791132235177317, ""learning_rate"": 0.017995208932784626, ""max_depth"": 3, ""min_child_weight"": 5.577481701968632, ""n_estimators"": 1700, ""reg_lambda"": 7.771657842296164, ""subsample"": 0.8752212760010394}",8.625233459472657,11.182274379576016,4.177415663683787,5.337688875308683,0.32,0.535,7.57011604309082,6.848015308380127,0.09933175801542149,2.9534967605272384,2.67176711521911,0.8587325372886151,1.710928019913373,420.0
11,catboost,2800,200,True,21.47315269431794,"{""depth"": 4, ""iterations"": 1600, ""l2_leaf_reg"": 4.9781977460856215, ""learning_rate"": 0.015343244495803023, ""random_seed"": 53, ""subsample"": 0.7896196650250278}",8.800809087819875,11.414725993400623,4.078821749945327,5.146706690682123,0.235,0.46,7.0861599229222945,6.748274631294167,0.09487197548981868,2.7646799837941,2.6328533368169476,0.626092952122706,1.1790070741039562,420.0
12,xgboost,3000,200,True,21.69088089523295,"{""colsample_bytree"": 0.8028109441755626, ""learning_rate"": 0.05275621467096598, ""max_depth"": 3, ""min_child_weight"": 9.410874820227692, ""n_estimators"": 400, ""reg_lambda"": 0.8254502100540808, ""subsample"": 0.6720878557736826}",8.076298217773438,11.649503775193073,4.3723967980872835,5.701201458269,0.32,0.46,6.999298095703125,6.66058349609375,0.07580395013871472,2.73079131987738,2.5986402568635687,0.6536261313605839,1.32219040005715,450.0
12,catboost,3000,200,True,22.15349349673229,"{""depth"": 5, ""iterations"": 1200, ""l2_leaf_reg"": 1.4908746637456365, ""learning_rate"": 0.0209724200132937, ""random_seed"": 54, ""subsample"": 0.9814413294127331}",7.652857647258757,11.354228061930758,3.945034068285955,5.186940647764589,0.33,0.56,7.116947006901938,7.29132797752517,0.06189854660199065,2.7766916284314958,2.844726725618213,1.0113752411478052,1.9848910660654073,450.0
13,xgboost,3200,200,True,21.011705323941705,"{""colsample_bytree"": 0.6654892952747787, ""learning_rate"": 0.0335848775812927, ""max_depth"": 3, ""min_child_weight"": 9.580543939651417, ""n_estimators"": 600, ""reg_lambda"": 2.5745741042926933, ""subsample"": 0.6620533771118677}",7.003488578796387,10.007131559478971,4.175045883655548,5.6336273399365275,0.38,0.52,6.813522815704346,6.519105911254883,0.01923196164990707,2.6583116089613394,2.543442913422614,0.5694587081446998,1.1591592203782275,480.0
13,catboost,3200,200,True,21.248666490669784,"{""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 4.648050490679021, ""learning_rate"": 0.07527193800766481, ""random_seed"": 55, ""subsample"": 0.9365482664584603}",7.230661641722761,10.03055957912688,3.8745851444513324,4.980100538260578,0.37,0.605,7.434900680800978,7.690419270805933,0.021238340527192246,2.9007419134326757,3.0004330210223955,1.1723439441829167,2.3926488588463,480.0
14,xgboost,3400,200,True,20.601123759609955,"{""colsample_bytree"": 0.9230800319502579, ""learning_rate"": 0.027774999385210563, ""max_depth"": 3, ""min_child_weight"": 9.408548071901539, ""n_estimators"": 800, ""reg_lambda"": 7.376049735418804, ""subsample"": 0.7500688244502154}",14.734545097351074,31.261995655874912,5.234882234572433,6.6108844606928265,0.3,0.355,6.65252685546875,6.5331196784973145,0.202507924923857,2.5954978694955817,2.548910417342344,0.5596574975119014,1.1901892501162608,510.0
14,catboost,3400,200,True,22.211433857235583,"{""depth"": 4, ""iterations"": 2800, ""l2_leaf_reg"": 1.0502521329973051, ""learning_rate"": 0.06601906072129096, ""random_seed"": 56, ""subsample"": 0.7647289049354046}",14.211207428212937,32.410361278866915,5.230829439869082,6.906706969104081,0.19,0.105,2.8492424023494634,1.0354910047991828,0.2020216292563374,1.1116378298592555,0.40399896213272785,3.0,3.0,510.0
