2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,605 - INFO - ADDING DATES FROM GAME IDs
2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,658 - INFO - 📊 Loaded 3520 pregame games
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300135: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300136: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300137: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300138: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300139: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300140: month must be in 1..12, not 0
2026-02-01 14:40:51,669 - WARNING - ⚠️ Could not extract date from 0022300141: month must be in 1..12, not 0
2026-02-01 14:40:51,670 - WARNING - ⚠️ Could not extract date from 0022300142: month must be in 1..12, not 0
2026-02-01 14:40:51,670 - WARNING - ⚠️ Could not extract date from 0022300143: month must be in 1..12, not 0
2026-02-01 14:40:51,670 - WARNING - ⚠️ Could not extract date from 0022300144: month must be in 1..12, not 0
2026-02-01 14:40:51,670 - WARNING - ⚠️ Could not extract date from 0022300145: month must be in 1..12, not 0
2026-02-01 14:40:51,670 - WARNING - ⚠️ Could not extract date from 0022300146: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300147: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300148: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300149: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300150: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300151: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300152: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300153: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300154: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300155: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300156: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300157: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300158: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300159: month must be in 1..12, not 0
2026-02-01 14:40:51,671 - WARNING - ⚠️ Could not extract date from 0022300160: month must be in 1..12, not 0
