fold,model,n_train,n_test,pi_method,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_ml,ece_ml,brier_total_over,ece_total_over,brier_spread_home,ece_spread_home,roi,n_bets,max_drawdown
4,random_forest,1100,200,normal,11.537534285991788,16.075133856304724,8.35747615825147,10.44934477198833,0.41,0.465,15.541965173801687,12.291404775214186,0.15814835593363294,0.1263385281382719,0.20124354996416843,0.1705475901155512,0.24246369222422762,0.18645555013035647,,,
4,gbt,1100,200,normal,12.378225190336295,16.615970643682807,8.916556709520059,11.091453289959436,0.29,0.32,11.099688828390526,8.97443523831573,0.18671882674415785,0.1732154186848664,0.2509323726597536,0.216077585771976,0.27317805231663594,0.25399155390175127,,,
5,ridge,1300,200,normal,10.921078789380267,13.902838887995395,8.738616788600712,11.027861385193036,0.78,0.8,35.404230826953324,28.200450084483744,0.16603835449861137,0.05235875526185487,0.17004747588204516,0.18199167402920824,0.18807134355086966,0.1289259983859991,,,
5,random_forest,1300,200,normal,10.996987714438342,14.04382138125237,8.582037045905484,11.049589102863779,0.49,0.455,16.623988514913577,12.098730128734157,0.18543869013881636,0.1407415997914538,0.1576600214080521,0.14573990818187638,0.21555988589879596,0.17697637855453252,,,
5,gbt,1300,200,normal,11.477417357918283,14.563261134474212,9.434252372482701,12.024616154373858,0.36,0.31,12.965351135652467,9.734458544915544,0.20597736311045745,0.17917106814354333,0.20695760763368662,0.2096896475346871,0.23686775257787585,0.20709424024992545,,,
6,ridge,1500,200,normal,11.621814597757934,14.322231004197423,8.615261055937477,11.090567452264217,0.745,0.77,35.403857351261195,28.196715534263674,0.17300134231672765,0.09363491207782897,0.21145222653848758,0.2052523060071318,0.19241323802505517,0.2770701904579047,,,
6,random_forest,1500,200,normal,11.766003398268394,14.621090235434199,8.806582795225609,11.32140284743676,0.405,0.45,16.336585712235575,12.114494513644631,0.19591950840562547,0.15238618994733144,0.2677896068117734,0.36456676322997866,0.2008979154305554,0.1881668204645646,,,
6,gbt,1500,200,normal,12.693567977448987,15.778126348487088,9.155626100087295,11.743846829077233,0.325,0.36,12.83740838041723,10.231718999346683,0.21484845575392783,0.16487461169977938,0.33476476963302243,0.46210038473283543,0.27247711893539045,0.36048578190749964,,,
7,ridge,1700,200,normal,11.093171325457963,13.66783254597621,9.229563103825726,11.731561447245582,0.81,0.755,35.48547777626893,28.202930514028665,0.18357967424512098,0.05519789092960791,,,,,,,
7,random_forest,1700,200,normal,10.984352160166223,13.55894277064924,9.419177341894217,11.942436850024087,0.415,0.42,16.149247694196276,12.094677150027486,0.22162902877843976,0.1845287431034519,,,,,,,
7,gbt,1700,200,normal,11.251169135288396,14.060413844658715,9.832497893926451,12.317222246744558,0.385,0.325,14.386704598674044,10.846207044577406,0.2281994224937617,0.19371246649858026,,,,,,,
8,ridge,1900,200,normal,10.565795855707368,13.193444308995893,10.093360177188522,12.813288373025744,0.835,0.75,35.402047374106246,28.38674236759482,0.17448876554353043,0.05325861334161142,,,,,,,
8,random_forest,1900,200,normal,10.628277094849594,13.213071293940851,10.103592123362748,12.96474114131534,0.43,0.405,15.959654884773757,12.177067987455684,0.1966496032218811,0.1325996046484597,,,,,,,
8,gbt,1900,200,normal,11.399798523241394,14.360133253600788,10.0603805262674,13.205041169089686,0.4,0.41,14.980482754055288,12.284660506703542,0.20277548475008828,0.1590858549319471,,,,,,,
9,ridge,2100,200,normal,11.622316875814313,15.698689637184826,9.40827091000014,11.600411015296473,0.83,0.775,35.242267021916085,28.81238718555148,0.2012337560185068,0.05823893836673357,0.2649460365667457,0.3937926997671165,0.29551021161259083,0.33434617002480876,,,
9,random_forest,2100,200,normal,11.893729708208461,15.85768178926011,9.422161995018872,11.558693620039184,0.42,0.385,15.908248091643259,12.370744427457339,0.23630962226014213,0.1956379167499047,0.2887371948259577,0.41804232800167923,0.24630496097035892,0.3819109454828178,,,
9,gbt,2100,200,normal,12.298045027601965,16.192187883517704,9.632697190813888,11.792934886582543,0.45,0.345,16.423573948011466,12.223159392707121,0.23448651398566459,0.1854236044365107,0.32189340272304107,0.4577124652598648,0.17020308309018156,0.18764296925186208,,,
10,ridge,2300,200,normal,10.84907627653421,13.95608093861929,9.36106781297297,12.151251192548115,0.81,0.765,35.683096376571086,28.883530761906986,0.16429400020427803,0.08505530956849842,0.13549811311600668,0.1392340400318844,0.14018040611810284,0.2022808856495466,,,
10,random_forest,2300,200,normal,11.023458545759798,14.11529476315336,9.620185241425242,12.324394349016867,0.46,0.4,16.146734094477523,12.30011206008686,0.1898186653828916,0.16319624987217216,0.14886099967031757,0.1466378948336472,0.11558114649165104,0.18530471812320568,,,
10,gbt,2300,200,normal,11.698761702976634,14.855150472290916,9.999087124310647,12.878015783301208,0.405,0.415,15.879271812880265,12.581433704440244,0.20858853294148003,0.1633529210514409,0.22491004211787868,0.2519646638348334,0.1586364263142344,0.13414510819066333,,,
11,ridge,2500,200,normal,14.939146767323118,25.096315200666915,8.459275310457508,11.014580856770019,0.79,0.815,35.66480262438906,29.053980844487395,0.16108991360534666,0.0764538477665894,0.17801262694616302,0.110856820016109,0.1968349727037343,0.16613300067833078,,,
11,random_forest,2500,200,normal,16.333748288829224,29.195696451189797,8.783499757083195,11.422949923269316,0.42,0.445,16.010548764704794,12.384723071030754,0.1955604066266261,0.16165461102322554,0.20369082184113366,0.16391600014852287,0.22678067944702665,0.20607056836295756,,,
11,gbt,2500,200,normal,16.582565142989488,28.224577317649295,9.366826775053312,12.208543315140254,0.415,0.485,18.0346394917824,13.979004424868767,0.20302214260504756,0.15970479118686048,0.2407583308105724,0.23669345611772635,0.2725505497126833,0.22452866973600386,,,
