feature,rf_importance,rf_rank,mi_importance,mi_rank,ridge_coef,ridge_rank,avg_rank
recent_points_diff,0.016262618957728257,23.0,0.014463923229042663,23.0,0.022302787300369564,64.0,36.666666666666664
home_off_rating,0.012666415333341459,31.0,0.0016224005646927608,47.0,0.33386443062048893,33.0,37.0
four_factor_weighted_diff,0.009295943940373856,40.0,0.006441136955982252,35.0,0.27953630789500655,37.0,37.333333333333336
away_off_rating,0.00865947022659412,43.0,0.004881999800200987,39.0,0.2846679365866451,36.0,39.333333333333336
away_efg,0.008384961177676741,45.0,0.0005107779217556896,52.0,0.554970463075916,22.0,39.666666666666664
away_efficiency_score,0.008111833892944046,47.0,0.0020517895922882445,46.0,0.4405654029066878,28.0,40.333333333333336
h2h_win_pct_diff,0.004252154577878289,61.0,0.005679869696799678,38.0,0.5327219337165902,25.0,41.333333333333336
recent_allowed_diff,0.016913324144393903,22.0,0.0022394854374656603,45.0,0.05930049523798179,57.0,41.333333333333336
h2h_wins_diff,0.004847126855044977,56.0,0.017779236330241588,20.0,0.08692209424356959,50.0,42.0
h2h_home_win_pct,0.004612409225434309,59.0,0.009329965354433867,29.0,0.2663609668583098,38.0,42.0
away_assist_ratio_proxy,0.008561919518136564,44.0,0.0,63.5,0.6197747800433872,20.0,42.5
home_rest_days,0.0058230410912254935,53.0,0.02116665541807672,18.0,0.02564155226951965,62.0,44.333333333333336
home_schedule_strength,0.01805185147102745,18.0,0.0,63.5,0.07363550739604724,54.0,45.166666666666664
rest_days_diff,0.00757085898353355,48.0,0.017440961056082838,21.0,0.012617567466724227,67.0,45.333333333333336
h2h_recent_home_wins,0.003577089005630664,64.0,0.007215468007927495,32.0,0.14226868070673002,43.0,46.333333333333336
def_rating_diff,0.017994362733724404,19.0,0.0,63.5,0.04565624101721275,61.0,47.833333333333336
h2h_home_wins,0.004698414442960897,58.0,0.02154947028029186,17.0,0.006632142621733372,70.0,48.333333333333336
away_recent_margin,0.01601328309596727,25.0,0.00024398090567778752,53.0,0.01061986999944044,69.0,49.0
away_net_rating,0.009344170035290473,39.0,0.0,63.5,0.12082967650822889,46.0,49.5
away_recent_wins,0.0036668898758768637,63.0,0.0,63.5,0.5539869270482906,23.0,49.833333333333336
h2h_recent_wins_diff,0.005831081659016989,52.0,0.006640921873262151,33.0,0.016381773406504818,65.0,50.0
assist_ratio_diff,0.011491229069703039,35.0,0.0,63.5,0.07538270760491636,52.0,50.166666666666664
h2h_recent_total,0.0023898435664102356,68.0,0.0011801191311882064,48.0,0.30091913482030075,35.0,50.333333333333336
home_b2b_x_home,0.0019388173739819656,69.0,0.0001939460385498304,54.0,0.4241519208769484,29.0,50.666666666666664
away_is_b2b,0.0007492210089703646,71.0,0.0,63.5,0.6752438639079636,19.0,51.166666666666664
away_b2b_x_away,0.0007333000924482588,72.0,0.0,63.5,0.6752438639079644,18.0,51.166666666666664
home_recent_wins,0.0045351438522481715,60.0,0.0,63.5,0.40687265556117463,31.0,51.5
net_rating_diff,0.006949930373053699,50.0,0.0062541452649496065,37.0,0.0035402530148450385,72.0,53.0
h2h_total_games,0.006791129869516835,51.0,0.0,63.5,0.10018637948819421,48.0,54.166666666666664
h2h_recent_home_win_pct,0.0034530393640075756,66.0,0.006614772656292178,34.0,0.0244736379347035,63.0,54.333333333333336
away_rest_days,0.005177364924248901,55.0,0.002921165351618349,42.0,0.013023984790002854,66.0,54.333333333333336
home_is_b2b,0.0011543045127991069,70.0,0.0,63.5,0.42415192087694276,30.0,54.5
h2h_recent_win_pct_diff,0.003468905581260667,65.0,0.0046752927063695715,40.0,0.048947275869407496,60.0,55.0
h2h_recent_away_wins,0.004112848499202456,62.0,0.0,63.5,0.1586504541132376,41.0,55.5
h2h_away_wins,0.004722946710278088,57.0,0.0,63.5,0.09355423686410404,49.0,56.5
b2b_diff,0.0029356370796292056,67.0,0.0,63.5,0.25109194303144855,39.0,56.5
efficiency_diff,0.007434759363846005,49.0,0.0,63.5,0.05310180370291517,58.0,56.833333333333336
